BatteryId,Policy,Family,Candidate,SelectedFamily,Intercept,Coefficient,EstimatedT80,T80Status,ExtrapolationMultiple,time,loss,late_slope_loss
29,5C_67PER_4C_NEWSTRUCTURE,linear,linear_w40_s1,True,1.0019052826368215,-3.2217661712168736e-05,6266.912988305452,finite_extrapolation,41.77941992203635,10.1844151334154,0.0025784610303329,3.692755523455632e-05
29,5C_67PER_4C_NEWSTRUCTURE,power,power_w60_s1.25,False,1.0006910411017778,-6.808682940943433e-06,3763.326511836735,finite_extrapolation,25.0888434122449,10.1844151334154,0.0025784610303329,3.692755523455632e-05
30,3_7C_31PER_5_9C_NEWSTRUCTURE,exponential,exponential_w60_s0.001,False,1.0001614385476514,-0.1330344244317314,918.122569142608,finite_extrapolation,6.120817127617387,10.8033723951577,0.0278649742917229,0.0001507158538589
30,3_7C_31PER_5_9C_NEWSTRUCTURE,linear,linear_w40_s1,True,1.0010179366726326,-0.0001487387520785,1351.4832810114071,finite_extrapolation,9.009888540076048,10.8033723951577,0.0278649742917229,0.0001507158538589
30,3_7C_31PER_5_9C_NEWSTRUCTURE,power,power_w60_s1.25,False,0.9976308633777872,-3.627265634141087e-05,975.0352690753966,finite_extrapolation,6.500235127169311,10.8033723951577,0.0278649742917229,0.0001507158538589
31,5C_67PER_4C_NEWSTRUCTURE,exponential,exponential_w60_s0.001,False,1.00188375905053,-0.0268224010948259,2143.200636024545,finite_extrapolation,14.28800424016363,10.1645542677994,0.001011531149535,4.189270056245824e-05
31,5C_67PER_4C_NEWSTRUCTURE,linear,linear_w40_s1,True,1.0022515167498265,-3.143483524224214e-05,6433.99321775483,finite_extrapolation,42.89328811836553,10.1645542677994,0.001011531149535,4.189270056245824e-05
31,5C_67PER_4C_NEWSTRUCTURE,power,power_w60_s1.25,False,1.0013744177199524,-7.315473292339698e-06,3562.948088748538,finite_extrapolation,23.752987258323586,10.1645542677994,0.001011531149535,4.189270056245824e-05
32,5_3C_54PER_4C_NEWSTRUCTURE,exponential,exponential_w60_s0.001,False,1.001841546302472,-0.0264504054563531,2155.353812646861,finite_extrapolation,14.36902541764574,10.1516542560729,0.0009563286621759,3.232439685127015e-05
32,5_3C_54PER_4C_NEWSTRUCTURE,linear,linear_w40_s1,True,1.0023117657047758,-3.18248096708597e-05,6357.04558164324,finite_extrapolation,42.3803038776216,10.1516542560729,0.0009563286621759,3.232439685127015e-05
32,5_3C_54PER_4C_NEWSTRUCTURE,power,power_w60_s1.25,False,1.001340494212978,-7.21707523637784e-06,3601.271947474486,finite_extrapolation,24.008479649829905,10.1516542560729,0.0009563286621759,3.232439685127015e-05
33,5_6C_19PER_4_6C_NEWSTRUCTURE,exponential,exponential_w60_s0.001,False,1.001500825682608,-0.0261359009696989,2164.441168885505,finite_extrapolation,14.429607792570032,10.2456923677378,0.00174132134003,3.921321444989661e-05
33,5_6C_19PER_4_6C_NEWSTRUCTURE,linear,linear_w40_s1,True,1.0020104587816532,-3.1766977108728733e-05,6359.133829140637,finite_extrapolation,42.39422552760425,10.2456923677378,0.00174132134003,3.921321444989661e-05
33,5_6C_19PER_4_6C_NEWSTRUCTURE,power,power_w60_s1.25,False,1.001004543938115,-7.128297320387184e-06,3632.252702658556,finite_extrapolation,24.215018017723704,10.2456923677378,0.00174132134003,3.921321444989661e-05
34,5_6C_36PER_4_3C_NEWSTRUCTURE,exponential,exponential_w60_s0.001,False,1.002059659698446,-0.0340966700990153,1935.2942716560285,finite_extrapolation,12.901961811040188,10.2173661484099,0.003024598643081,4.4121132484219416e-05
34,5_6C_36PER_4_3C_NEWSTRUCTURE,linear,linear_w40_s1,True,1.0033346215031829,-4.59782959785371e-05,4422.404466622696,finite_extrapolation,29.48269644415131,10.2173661484099,0.003024598643081,4.4121132484219416e-05
34,5_6C_36PER_4_3C_NEWSTRUCTURE,power,power_w60_s1.25,False,1.0014144031562442,-9.304978484483706e-06,2939.680424388496,finite_extrapolation,19.59786949592331,10.2173661484099,0.003024598643081,4.4121132484219416e-05
35,3_7C_31PER_5_9C_NEWSTRUCTURE,exponential,exponential_w60_s0.001,False,1.0032875201255047,-0.1999940284232762,701.3474414332368,finite_extrapolation,4.675649609554912,10.9003622808642,0.039503302878485,0.0002157215374762
35,3_7C_31PER_5_9C_NEWSTRUCTURE,linear,linear_w40_s1,True,1.0045770792720352,-0.0002237109558123,914.4705431575212,finite_extrapolation,6.096470287716809,10.9003622808642,0.039503302878485,0.0002157215374762
35,3_7C_31PER_5_9C_NEWSTRUCTURE,power,power_w60_s1.25,False,0.9994835359550294,-5.453033873471576e-05,708.9491559647413,finite_extrapolation,4.726327706431609,10.9003622808642,0.039503302878485,0.0002157215374762
36,5_3C_54PER_4C_NEWSTRUCTURE,exponential,exponential_w60_s0.001,False,1.0012921976476652,-0.0237932824172648,2247.0769519944583,finite_extrapolation,14.980513013296388,10.1718277480371,0.0021230658308399,3.696453864642913e-05
36,5_3C_54PER_4C_NEWSTRUCTURE,linear,linear_w40_s1,True,1.002502753262032,-3.4448228424402914e-05,5878.466397957938,finite_extrapolation,39.18977598638625,10.1718277480371,0.0021230658308399,3.696453864642913e-05
36,5_3C_54PER_4C_NEWSTRUCTURE,power,power_w60_s1.25,False,1.000843149970769,-6.496241213996278e-06,3909.81227106826,finite_extrapolation,26.065415140455062,10.1718277480371,0.0021230658308399,3.696453864642913e-05
37,5C_67PER_4C_NEWSTRUCTURE,exponential,exponential_w60_s0.001,False,1.001233185332005,-0.0289205318136797,2074.1956348496865,finite_extrapolation,13.82797089899791,10.1144099012732,0.0031881971471009,3.447976492451031e-05
37,5C_67PER_4C_NEWSTRUCTURE,linear,linear_w40_s1,True,1.0016935873094803,-3.433034002099305e-05,5875.082716516778,finite_extrapolation,39.167218110111854,10.1144099012732,0.0031881971471009,3.447976492451031e-05
37,5C_67PER_4C_NEWSTRUCTURE,power,power_w60_s1.25,False,1.0006841608595147,-7.888109344861753e-06,3345.277424664734,finite_extrapolation,22.30184949776489,10.1144099012732,0.0031881971471009,3.447976492451031e-05
