OuterBatteryId,Policy,Family,SelectedCandidate,RMSE,MAE,Bias
26,5_3C_54PER_4C_NEWSTRUCTURE,linear,linear_w40_s1,0.00010856113261747262,9.378857666261897e-05,-3.401448792091255e-05
26,5_3C_54PER_4C_NEWSTRUCTURE,power,power_w60_s1.25,0.00012499690130255534,0.0001070546782800652,-5.989950361484864e-05
27,5_6C_19PER_4_6C_NEWSTRUCTURE,exponential,exponential_w60_s0.001,0.0003127214873548228,0.0002761719737463242,0.0002559588220649678
27,5_6C_19PER_4_6C_NEWSTRUCTURE,linear,linear_w40_s1,0.00026564180924642475,0.00023374006130893798,0.00020519598898293578
27,5_6C_19PER_4_6C_NEWSTRUCTURE,power,power_w60_s1.25,0.00027379631832370635,0.00024149337962330096,0.0002175715860353744
28,5_6C_36PER_4_3C_NEWSTRUCTURE,exponential,exponential_w60_s0.001,0.00014183785820617392,0.00010898701247226361,3.072537574528855e-06
28,5_6C_36PER_4_3C_NEWSTRUCTURE,linear,linear_w40_s1,0.00014761686555455936,0.0001172508439603659,-6.568261306090228e-05
28,5_6C_36PER_4_3C_NEWSTRUCTURE,power,power_w60_s1.25,0.0001381584256079918,0.00010940299767562056,-3.9742224046266376e-05
29,5C_67PER_4C_NEWSTRUCTURE,exponential,exponential_w60_s0.001,0.0003257424810126691,0.0002864405419218241,0.0002862841883948541
29,5C_67PER_4C_NEWSTRUCTURE,linear,linear_w40_s1,0.00021292957817308254,0.0001739101673835064,0.00016443132999773623
29,5C_67PER_4C_NEWSTRUCTURE,power,power_w60_s1.25,0.00028914107401216757,0.00025155513751456526,0.0002505872210934812
30,3_7C_31PER_5_9C_NEWSTRUCTURE,exponential,exponential_w60_s0.001,0.0004828559618740571,0.0004372287893857907,-0.0004372287893857907
30,3_7C_31PER_5_9C_NEWSTRUCTURE,linear,linear_w40_s1,0.00022143388062989552,0.00018877188962707737,-0.000146282951823562
