cohort,model,fold,heldout_coordinate,train_rmse,lag1_residual_correlation,n_train_policy,n_train_battery,quadratic_cycle,lambda_fixed,lambda_battery,lambda_policy
explicit_new_structure,hier_cycle_J_H_linear,3,5.000|0.670|4.000,0.0008945542675208651,0.8141593547825334,5,28,False,10.0,1.0,10.0
explicit_new_structure,hier_cycle_J_H_linear,4,5.300|0.540|4.000,0.0008904514988742964,0.8318160959521985,5,27,False,10.0,1.0,10.0
explicit_new_structure,hier_cycle_J_H_linear,5,5.600|0.190|4.600,0.0009004433861440704,0.8144067448549783,5,27,False,10.0,1.0,10.0
explicit_new_structure,hier_cycle_J_H_linear,6,5.600|0.360|4.300,0.0009087016163893568,0.8211717511622939,5,27,False,10.0,1.0,10.0
explicit_new_structure,hier_cycle_J_quadratic,1,3.700|0.310|5.900,0.0006755047957828851,0.68993852501738,5,32,True,1.0,1.0,10.0
explicit_new_structure,hier_cycle_J_quadratic,2,4.800|0.800|4.800,0.000646617762478966,0.7301890827818688,5,29,True,1.0,1.0,10.0
explicit_new_structure,hier_cycle_J_quadratic,3,5.000|0.670|4.000,0.0007057590735607517,0.714960395213387,5,28,True,1.0,1.0,10.0
explicit_new_structure,hier_cycle_J_quadratic,4,5.300|0.540|4.000,0.0006905043974701491,0.7201314675235779,5,27,True,1.0,1.0,10.0
explicit_new_structure,hier_cycle_J_quadratic,5,5.600|0.190|4.600,0.0007031834498343243,0.6999129384480801,5,27,True,1.0,1.0,10.0
explicit_new_structure,hier_cycle_J_quadratic,6,5.600|0.360|4.300,0.0007058291296791288,0.7108500333987492,5,27,True,1.0,1.0,10.0
