cohort,response,model,rmse,mae,n_coordinate_folds,baseline_rmse,relative_rmse_improvement
all_complete,soh200,constant_mean,0.01155735492632119,0.00902658870848191,7,0.01155735492632119,0.0
all_complete,soh200,ridge_stage_E1_E2,0.011836005389549736,0.009400704836483333,7,0.01155735492632119,-0.02411022807597063
all_complete,soh200,ridge_H,0.014363424434414296,0.011256384497396521,7,0.01155735492632119,-0.24279513141042752
equal_T0_nonbaseline,relative_loss200,nearest_coordinate,0.009551514010828772,0.004809118520953047,6,0.013300109274225565,0.2818469522398014
equal_T0_nonbaseline,relative_loss200,ridge_Jhigh50,0.010048944182684559,0.007132188805673629,6,0.013300109274225565,0.2444464947247822
equal_T0_nonbaseline,relative_loss200,ridge_Jhigh70,0.010073168091595351,0.00691020764194013,6,0.013300109274225565,0.24262516315439153
equal_T0_nonbaseline,relative_loss200,ridge_H,0.010362585276633663,0.006263483932792341,6,0.013300109274225565,0.22086465133670474
equal_T0_nonbaseline,relative_loss200,ridge_Jhigh60,0.010403622965142025,0.007044308604086169,6,0.013300109274225565,0.21777913619827727
equal_T0_nonbaseline,relative_loss200,ridge_raw_C1_q_C2,0.011459892981310971,0.007125010819247012,6,0.013300109274225565,0.13836099049808337
equal_T0_nonbaseline,relative_loss200,ridge_J_H,0.011911378763109706,0.006972118628940348,6,0.013300109274225565,0.10441497001886269
equal_T0_nonbaseline,relative_loss200,constant_mean,0.013300109274225565,0.009887580939156112,6,0.013300109274225565,0.0
equal_T0_nonbaseline,relative_loss200,ridge_stage_E1_E2,0.013408535950701265,0.010123394529128497,6,0.013300109274225565,-0.008152314709610753
equal_T0_nonbaseline,relative_loss200,ridge_J,0.01668762048793282,0.011991499010018032,6,0.013300109274225565,-0.2546979986301279
equal_T0_nonbaseline,soh200,ridge_H,0.00609636376038857,0.004225675421105024,6,0.012339912473008514,0.5059637761837175
equal_T0_nonbaseline,soh200,ridge_Jhigh70,0.00625293113418578,0.004838119870070878,6,0.012339912473008514,0.49327589252654613
equal_T0_nonbaseline,soh200,ridge_Jhigh50,0.008370134627857021,0.005835613679320247,6,0.012339912473008514,0.3217022692693092
equal_T0_nonbaseline,soh200,ridge_raw_C1_q_C2,0.008591353133312506,0.005022552199399843,6,0.012339912473008514,0.3037751967767479
equal_T0_nonbaseline,soh200,ridge_Jhigh60,0.008742464754502147,0.005673875892080793,6,0.012339912473008514,0.29152943559163647
equal_T0_nonbaseline,soh200,nearest_coordinate,0.008788584676823351,0.005021034533835862,6,0.012339912473008514,0.28779197615486296
equal_T0_nonbaseline,soh200,ridge_J_H,0.009880284904499577,0.006547117139470408,6,0.012339912473008514,0.19932293473628426
equal_T0_nonbaseline,soh200,constant_mean,0.012339912473008514,0.009835748553357374,6,0.012339912473008514,0.0
equal_T0_nonbaseline,soh200,ridge_stage_E1_E2,0.012642626357299163,0.010273114847596446,6,0.012339912473008514,-0.024531282936794296
equal_T0_nonbaseline,soh200,ridge_J,0.016241488677856013,0.013049923493915186,6,0.012339912473008514,-0.3161753548399586
explicit_new_structure,relative_loss200,nearest_coordinate,0.012994238010518912,0.005666633232443732,6,0.013856305700692973,0.06221482903130149
explicit_new_structure,relative_loss200,ridge_J,0.013265414329208714,0.008388475907885476,6,0.013856305700692973,0.04264422164521875
explicit_new_structure,relative_loss200,ridge_Jhigh50,0.013422232874485792,0.008786199778884302,6,0.013856305700692973,0.03132673568146471
explicit_new_structure,relative_loss200,ridge_Jhigh60,0.013601672937931679,0.00908412236455096,6,0.013856305700692973,0.018376670395526817
explicit_new_structure,relative_loss200,ridge_Jhigh70,0.01371144620005107,0.009261894552065695,6,0.013856305700692973,0.010454409982789237
explicit_new_structure,relative_loss200,constant_mean,0.013856305700692973,0.01030710248805926,6,0.013856305700692973,0.0
explicit_new_structure,relative_loss200,ridge_H,0.013976225461109097,0.009253929951511105,6,0.013856305700692973,-0.008654526177935384
explicit_new_structure,relative_loss200,ridge_stage_E1_E2,0.014083280618953588,0.011094904394591607,6,0.013856305700692973,-0.016380622884876406
explicit_new_structure,relative_loss200,ridge_raw_C1_q_C2,0.014255797407144553,0.009545362639415796,6,0.013856305700692973,-0.02883104018350302
explicit_new_structure,relative_loss200,ridge_J_H,0.03476196471044893,0.016874160195077686,6,0.013856305700692973,-1.5087469532885978
explicit_new_structure,soh200,ridge_Jhigh70,0.0076913074746155375,0.0056783845037940055,6,0.012637648098770497,0.3913972430231052
explicit_new_structure,soh200,ridge_H,0.007785437567654419,0.004416386805282835,6,0.012637648098770497,0.3839488560840797
explicit_new_structure,soh200,ridge_raw_C1_q_C2,0.008880486762951811,0.00528841308139492,6,0.012637648098770497,0.29729909445604963
explicit_new_structure,soh200,nearest_coordinate,0.009263627685066141,0.0051566274076648155,6,0.012637648098770497,0.26698167153685903
explicit_new_structure,soh200,ridge_Jhigh50,0.009710853060894128,0.006355310054827572,6,0.012637648098770497,0.23159333247782976
explicit_new_structure,soh200,ridge_Jhigh60,0.009938132751309572,0.006259957684921398,6,0.012637648098770497,0.21360899800047106
explicit_new_structure,soh200,ridge_J_H,0.010418599924840623,0.006314022111105729,6,0.012637648098770497,0.17559028045303482
explicit_new_structure,soh200,constant_mean,0.012637648098770497,0.009695744554386543,6,0.012637648098770497,0.0
explicit_new_structure,soh200,ridge_stage_E1_E2,0.012800042193551676,0.010035097783120303,6,0.012637648098770497,-0.012850025060990422
explicit_new_structure,soh200,ridge_J,0.015489141020931798,0.012401935700644406,6,0.012637648098770497,-0.22563477791716013
