Model,BatteryId,Policy,NObs,RMSE,MAE,Bias,MaxAbsError,InnerSelectedLambdaRandom,InnerSelectedLambdaCurve,InnerCVMeanBatteryRMSE,InnerValidationNBattery,SelectedModel
functional_ridge,34,5_6C_36PER_4_3C_NEWSTRUCTURE,200,0.0003771960264793744,0.0002758702145736491,2.0278935343776007e-06,0.002603072984568078,0.0,0.0,0.004342636218669695,39,functional_ridge
functional_ridge,35,3_7C_31PER_5_9C_NEWSTRUCTURE,200,0.005813438037387321,0.004617762109394536,0.0045917608081155635,0.01134990232930877,0.0,0.0,0.004626706936910677,38,functional_ridge
functional_ridge,36,5_3C_54PER_4C_NEWSTRUCTURE,200,0.00036975006811419946,0.00031787232147187096,-0.00028268653849179595,0.001701328739715624,0.0,0.0,0.004360625445041367,39,functional_ridge
functional_ridge,37,5C_67PER_4C_NEWSTRUCTURE,200,0.0006670024715882115,0.0005782653544383964,0.0004714407215288829,0.0011838024678265668,0.0,0.0,0.0043629851010882235,39,functional_ridge
functional_ridge,38,5_3C_54PER_4C_NEWSTRUCTURE,200,0.0012229028808377741,0.0010474269229168792,0.0008559171663864778,0.002043077823043804,0.0,0.0,0.004796092391506208,39,functional_ridge
functional_ridge,39,5_6C_19PER_4_6C_NEWSTRUCTURE,200,0.00032321062881305636,0.0002428577569998347,-0.00016175220586024498,0.0009234222602979569,0.0,0.0,0.004376330268414466,39,functional_ridge
functional_ridge,40,5_6C_36PER_4_3C_NEWSTRUCTURE,200,0.0012072006270426993,0.0010415004507225245,0.0009929585069440804,0.002063890589756201,0.0,0.0,0.00477668878665662,39,functional_ridge
functional_ridge,41,4_8C_80PER_4_8C_NEWSTRUCTURE,200,0.045821559410124967,0.045802301121126314,0.045802301121126314,0.05289531434887984,0.0,0.0,0.0021169608839876094,39,functional_ridge
functional_ridge,42,5C_67PER_4C_NEWSTRUCTURE,200,0.0003944003785247156,0.00030636524157227565,-0.00015961951243815886,0.0010303757237756228,0.0,0.0,0.004806840229842281,39,functional_ridge
functional_ridge,43,5_3C_54PER_4C_NEWSTRUCTURE,200,0.0006339986018151723,0.0005261268494189081,0.00041856311672101854,0.0021329705275289212,0.0,0.0,0.004805985646678876,39,functional_ridge
functional_ridge,44,5_6C_19PER_4_6C_NEWSTRUCTURE,200,0.0003895820148051901,0.0002294315390323898,-9.903593208911875e-05,0.0031042586286065266,0.0,0.0,0.0043518150579984856,39,functional_ridge
functional_ridge,45,5_6C_36PER_4_3C_NEWSTRUCTURE,200,0.001394804685239179,0.0012192254194346452,-0.0010609767664787218,0.0032284025693515295,0.0,1e-06,0.004318557731681583,39,functional_ridge
functional_ridge,46,4_8C_80PER_4_8C_NEWSTRUCTURE,200,0.011679496193146817,0.011675967017134367,-0.011675967017134367,0.01221522046298329,0.0,0.0,0.004055783295716851,39,functional_ridge
functional_ridge,47,5C_67PER_4C_NEWSTRUCTURE,200,0.0008001984687992739,0.0006921460966360682,-0.0006337183845413729,0.0014937631461932055,0.0,1e-06,0.004290788486576903,39,functional_ridge
functional_ridge,48,5_3C_54PER_4C_NEWSTRUCTURE,200,0.000982926746419062,0.0008493901119800074,-0.0007953068241484063,0.002187872264507895,0.0,0.0,0.004867686361843957,39,functional_ridge
functional_ridge,49,4_8C_80PER_4_8C_NEWSTRUCTURE,200,0.01151630742397807,0.011508237829366328,-0.011508237829366328,0.012237102753144158,0.0,0.0,0.004841427544131653,39,functional_ridge
