SensitivityWindow,BatteryId,Policy,AvailableLastCycle,LifetimePrefixCycle,TailWindow,SOH150,SlopeTail,InterceptTail,EstimatedT80,ExtrapolationMultiple,T80Status
30,22,5_6C_36PER_4_3C_NEWSTRUCTURE,200,150,30,0.998009643964444,-2.0551642677173327e-05,1.0009734415681084,9778.947830351743,65.19298553567829,finite_extrapolation
30,23,5_6C_19PER_4_6C_NEWSTRUCTURE,200,150,30,0.99579767001136,-4.187112810061899e-05,1.0020782318649055,4826.1950664261685,32.17463377617446,finite_extrapolation
30,24,5_6C_36PER_4_3C_NEWSTRUCTURE,150,150,30,0.997589873366983,-2.683050230517094e-05,1.0015250662805915,7511.043363573266,50.073622423821774,finite_extrapolation
30,25,4_8C_80PER_4_8C_NEWSTRUCTURE,150,150,30,0.997459834024826,-3.588435230338138e-05,1.002532453726634,5644.032585967822,37.62688390645215,finite_extrapolation
30,26,5_3C_54PER_4C_NEWSTRUCTURE,200,150,30,0.995946124179296,-4.485805692319174e-05,1.00255504222084,4515.46625320096,30.103108354673065,finite_extrapolation
30,27,5_6C_19PER_4_6C_NEWSTRUCTURE,200,150,30,0.995698655651178,-4.096902619570887e-05,1.0016872727889459,4922.920838427707,32.81947225618472,finite_extrapolation
30,28,5_6C_36PER_4_3C_NEWSTRUCTURE,200,150,30,0.995748858110306,-4.0481571921618734e-05,1.0015769612495735,4979.474651821105,33.19649767880737,finite_extrapolation
30,29,5C_67PER_4C_NEWSTRUCTURE,200,150,30,0.997159190117805,-2.8066496893666297e-05,1.0013262668873133,7173.188291009916,47.82125527339944,finite_extrapolation
30,30,3_7C_31PER_5_9C_NEWSTRUCTURE,200,150,30,0.978674398451871,-0.0001591426841699498,1.0024633006289296,1272.2124280165924,8.481416186777283,finite_extrapolation
30,31,5C_67PER_4C_NEWSTRUCTURE,200,150,30,0.997563762160854,-3.654116749797424e-05,1.0029600912823422,5554.2858966833455,37.02857264455564,finite_extrapolation
30,32,5_3C_54PER_4C_NEWSTRUCTURE,200,150,30,0.99771931742831,-4.10524324498712e-05,1.003590261549136,4959.274016167946,33.061826774452975,finite_extrapolation
