Model,Policy,SOH1,SOH50,SOH100,SOH150,SOH200,Loss1to200,MeanSOH1to200,Slope151to200,ProjectedL80LocalLinear,MeanChargeTime
spline_mixed,4_8C_80PER_4_8C_NEWSTRUCTURE,0.9891373331949385,0.9908125053821858,0.9898080758642754,0.9887222083917235,0.9872581128267969,0.0018792203681415875,0.9895105021531344,-2.923662288264513e-05,6604.915970577207,11.160462287633361
spline_mixed,5C_67PER_4C_NEWSTRUCTURE,0.9981155512671437,0.9998298602739372,0.9986622023018399,0.9972855491134957,0.995491569365544,0.0026239819015997368,0.9982839432797455,-3.5952668372068924e-05,5637.470380290835,10.158737727484366
spline_mixed,5_3C_54PER_4C_NEWSTRUCTURE,0.9978446408949371,0.999608594425332,0.998419367312676,0.9970717737620198,0.9954362854956231,0.002408355399313944,0.9980714762925559,-3.285756990858436e-05,6147.983555672614,10.157513242825358
spline_mixed,3_7C_31PER_5_9C_NEWSTRUCTURE,1.0004683355516257,0.993471598130721,0.9842328887914646,0.9748742641499758,0.9658691971546514,0.03459913839697437,0.9839407610211365,-0.00018005836153938516,1121.1968593770073,10.851867338010951
functional_ridge,3_6C-80PER_3_6C,0.9970966389708129,1.0017112243034993,1.0011031623005215,0.9993420022135142,0.9966823144149064,0.00041432455590650896,1.000224679457424,-5.091771397472177e-05,4062.7483259077535,13.38800241952045
functional_ridge,80PER_3_6C,0.9978745403632037,0.9962575489624356,0.9921565055156656,0.986746663334578,0.9804815544138565,0.01739298594934713,0.9913346643123551,-0.0001237021800956896,1659.0005954159037,14.279889966140349
functional_ridge,4_8C_80PER_4_8C,0.9955252945093992,0.9992831687006178,0.996912036744751,0.9921196017978312,0.9854650643318774,0.010060230177521778,0.9951804626023789,-0.0001331741745788068,1592.6503762343732,13.08203536558995
functional_ridge,5_6C_19PER_4_6C_NEWSTRUCTURE,0.9975720752524568,0.9994178663260648,0.9979662600244559,0.9961537007793958,0.9939260512539082,0.003646023998548631,0.9975847533536618,-4.3976698159476155e-05,4609.745600969379,10.249731197117585
functional_ridge,5_6C_36PER_4_3C_NEWSTRUCTURE,0.9976113073815017,0.9994936108987932,0.9982485312311754,0.9966685332089473,0.9946990005820673,0.0029123067994344387,0.9978869914168804,-3.897739963351241e-05,5195.176754035352,10.214658808573457
functional_ridge,4_8C_80PER_4_8C_NEWSTRUCTURE,0.9885627935944589,0.9907405620787997,0.9898468245128963,0.9887134544161438,0.9872857202629289,0.001277073331529932,0.9895118763658471,-2.8406319288930397e-05,6793.100582936554,11.160462287633361
functional_ridge,5C_67PER_4C_NEWSTRUCTURE,0.9973931165162292,0.9997083989005425,0.9987475290435861,0.9972433369509791,0.9954909264182059,0.001902190098023282,0.9982857600673498,-3.442987041414286e-05,5877.945460343745,10.158737727484366
functional_ridge,5_3C_54PER_4C_NEWSTRUCTURE,0.9971685643293042,0.9994938755196492,0.9984994225125108,0.9970333907020591,0.9954468929933957,0.0017216713359085034,0.9980731483334829,-3.13030804018295e-05,6443.695204577145,10.157513242825358
functional_ridge,3_7C_31PER_5_9C_NEWSTRUCTURE,0.99987074621604,0.9934275960628366,0.984241280913073,0.9748881795181747,0.9659054751434822,0.03396527107255776,0.9839421713795459,-0.0001798242519101343,1122.5978886673868,10.851867338010951
