Metric,PolicyA,PolicyB,Difference_AminusB,CI95Low,CI95High,BootstrapCIExcludesZero,ExactPermutationP,HolmAdjustedP,SignificantAfterHolm
MeanSOH1to200,4_8C_80PER_4_8C,4_8C_80PER_4_8C_NEWSTRUCTURE,0.005667271301936783,-0.004845571809424154,0.024038304959404178,False,1.0,1.0,False
MeanSOH1to200,4_8C_80PER_4_8C,5C_67PER_4C_NEWSTRUCTURE,-0.003106139769450511,-0.004585863735946494,-0.0016562234329863257,True,0.03571428571428571,1.0,False
MeanSOH1to200,4_8C_80PER_4_8C,5_3C_54PER_4C_NEWSTRUCTURE,-0.002893604790519033,-0.004513320482482675,-0.0012204260123506478,True,0.027777777777777776,0.9722222222222222,False
MeanSOH1to200,4_8C_80PER_4_8C,3_7C_31PER_5_9C_NEWSTRUCTURE,0.011236765515614588,0.007632320993201658,0.014841210038026853,True,0.3333333333333333,1.0,False
MeanSOH1to200,5_6C_19PER_4_6C_NEWSTRUCTURE,5_6C_36PER_4_3C_NEWSTRUCTURE,-0.0003023826653318906,-0.0008221249936055719,0.00022605024246998283,False,0.30885780885780884,1.0,False
MeanSOH1to200,5_6C_19PER_4_6C_NEWSTRUCTURE,4_8C_80PER_4_8C_NEWSTRUCTURE,0.00807226101988201,-0.0012941773334006201,0.02643972765008385,False,0.4166666666666667,1.0,False
MeanSOH1to200,5_6C_19PER_4_6C_NEWSTRUCTURE,5C_67PER_4C_NEWSTRUCTURE,-0.0007011500515052838,-0.0010530293476757018,-0.00035907840168985584,True,0.005244755244755245,0.18881118881118883,False
MeanSOH1to200,5_6C_19PER_4_6C_NEWSTRUCTURE,5_3C_54PER_4C_NEWSTRUCTURE,-0.0004886150725738059,-0.000998085408383978,6.315077476551889e-05,False,0.1381118881118881,1.0,False
MeanSOH1to200,5_6C_19PER_4_6C_NEWSTRUCTURE,3_7C_31PER_5_9C_NEWSTRUCTURE,0.013641755233559816,0.01119653319428717,0.016089808006422013,True,0.027777777777777776,0.9722222222222222,False
MeanSOH1to200,5_6C_36PER_4_3C_NEWSTRUCTURE,4_8C_80PER_4_8C_NEWSTRUCTURE,0.0083746436852139,-0.001103671210152879,0.026806586010407144,False,0.4078282828282828,1.0,False
MeanSOH1to200,5_6C_36PER_4_3C_NEWSTRUCTURE,5C_67PER_4C_NEWSTRUCTURE,-0.00039876738617339313,-0.0009148398681477182,0.00010428096123435142,False,0.20396270396270397,1.0,False
MeanSOH1to200,5_6C_36PER_4_3C_NEWSTRUCTURE,5_3C_54PER_4C_NEWSTRUCTURE,-0.00018623240724191525,-0.0008641111995510209,0.00048646338618918417,False,0.615967365967366,1.0,False
MeanSOH1to200,5_6C_36PER_4_3C_NEWSTRUCTURE,3_7C_31PER_5_9C_NEWSTRUCTURE,0.013944137898891706,0.011367402926459469,0.01653034706521806,True,0.027777777777777776,0.9722222222222222,False
MeanSOH1to200,4_8C_80PER_4_8C_NEWSTRUCTURE,5C_67PER_4C_NEWSTRUCTURE,-0.008773411071387294,-0.02716697136761858,0.0005769113694691376,False,0.43506493506493504,1.0,False
MeanSOH1to200,4_8C_80PER_4_8C_NEWSTRUCTURE,5_3C_54PER_4C_NEWSTRUCTURE,-0.008560876092455816,-0.027022358720508514,0.0009417648276833442,False,0.3838383838383838,1.0,False
MeanSOH1to200,4_8C_80PER_4_8C_NEWSTRUCTURE,3_7C_31PER_5_9C_NEWSTRUCTURE,0.005569494213677806,-0.012801539443789589,0.01705377849592083,False,0.8095238095238095,1.0,False
MeanSOH1to200,5C_67PER_4C_NEWSTRUCTURE,5_3C_54PER_4C_NEWSTRUCTURE,0.00021253497893147788,-0.00032354321501463503,0.0007968340208364676,False,0.5168997668997669,1.0,False
MeanSOH1to200,5C_67PER_4C_NEWSTRUCTURE,3_7C_31PER_5_9C_NEWSTRUCTURE,0.0143429052850651,0.01189853886029087,0.01680297591040617,True,0.03571428571428571,1.0,False
MeanSOH1to200,5_3C_54PER_4C_NEWSTRUCTURE,3_7C_31PER_5_9C_NEWSTRUCTURE,0.014130370306133622,0.01152786017606564,0.01672900629651114,True,0.027777777777777776,0.9722222222222222,False
MeanChargeTime,3_6C-80PER_3_6C,80PER_3_6C,-0.8918875466198983,-1.4609678434838997,-0.32280724975590047,True,0.16666666666666666,1.0,False
MeanChargeTime,3_6C-80PER_3_6C,4_8C_80PER_4_8C,0.30596705393049994,0.1264305609043994,0.4855035469565987,True,0.16666666666666666,1.0,False
MeanChargeTime,3_6C-80PER_3_6C,5_6C_19PER_4_6C_NEWSTRUCTURE,3.1382712224028655,3.0989601362009522,3.175109801385211,True,0.027777777777777776,0.6388888888888888,False
MeanChargeTime,3_6C-80PER_3_6C,5_6C_36PER_4_3C_NEWSTRUCTURE,3.1733436109469935,3.1394118545316854,3.2053301659741265,True,0.027777777777777776,0.6388888888888888,False
MeanChargeTime,3_6C-80PER_3_6C,4_8C_80PER_4_8C_NEWSTRUCTURE,2.227540131887089,2.1885462793412187,2.26897489861652,True,0.047619047619047616,0.6388888888888888,False
MeanChargeTime,3_6C-80PER_3_6C,5C_67PER_4C_NEWSTRUCTURE,3.229264692036084,3.193899013664433,3.2646315021525503,True,0.0,0.0,True
MeanChargeTime,3_6C-80PER_3_6C,5_3C_54PER_4C_NEWSTRUCTURE,3.2304891766950927,3.197568615728383,3.2628982337000987,True,0.027777777777777776,0.6388888888888888,False
MeanChargeTime,3_6C-80PER_3_6C,3_7C_31PER_5_9C_NEWSTRUCTURE,2.5361350815094994,2.4669912026958993,2.6052789603230995,True,0.3333333333333333,1.0,False
MeanChargeTime,80PER_3_6C,4_8C_80PER_4_8C,1.1978546005503983,0.4905356825809992,1.905173518519799,True,0.16666666666666666,1.0,False
MeanChargeTime,80PER_3_6C,5_6C_19PER_4_6C_NEWSTRUCTURE,4.030158769022764,3.4639450845327233,4.595854800339115,True,0.027777777777777776,0.6388888888888888,False
MeanChargeTime,80PER_3_6C,5_6C_36PER_4_3C_NEWSTRUCTURE,4.065231157566892,3.5043880987876737,4.625809801815519,True,0.027777777777777776,0.6388888888888888,False
MeanChargeTime,80PER_3_6C,4_8C_80PER_4_8C_NEWSTRUCTURE,3.1194276785069874,2.5538448828089995,3.6894082868428804,True,0.047619047619047616,0.6388888888888888,False
MeanChargeTime,80PER_3_6C,5C_67PER_4C_NEWSTRUCTURE,4.1211522386559825,3.558521464568574,4.684300341970932,True,0.0,0.0,True
MeanChargeTime,80PER_3_6C,5_3C_54PER_4C_NEWSTRUCTURE,4.122376723314991,3.5618096735172866,4.6830529785711015,True,0.027777777777777776,0.6388888888888888,False
MeanChargeTime,80PER_3_6C,3_7C_31PER_5_9C_NEWSTRUCTURE,3.4280226281293977,2.831096324372499,4.0249489318863,True,0.3333333333333333,1.0,False
MeanChargeTime,4_8C_80PER_4_8C,5_6C_19PER_4_6C_NEWSTRUCTURE,2.8323041684723655,2.657388957804756,3.0092494558065717,True,0.027777777777777776,0.6388888888888888,False
MeanChargeTime,4_8C_80PER_4_8C,5_6C_36PER_4_3C_NEWSTRUCTURE,2.8673765570164935,2.697150643188641,3.0366631182788026,True,0.0,0.0,True
MeanChargeTime,4_8C_80PER_4_8C,4_8C_80PER_4_8C_NEWSTRUCTURE,1.9215730779565892,1.744359689721902,2.101265551208,True,0.047619047619047616,0.6388888888888888,False
MeanChargeTime,4_8C_80PER_4_8C,5C_67PER_4C_NEWSTRUCTURE,2.923297638105584,2.7481583720200184,3.09631472218965,True,0.03571428571428571,0.6388888888888888,False
MeanChargeTime,4_8C_80PER_4_8C,5_3C_54PER_4C_NEWSTRUCTURE,2.924522122764593,2.751427727246657,3.0959154446293002,True,0.027777777777777776,0.6388888888888888,False
MeanChargeTime,4_8C_80PER_4_8C,3_7C_31PER_5_9C_NEWSTRUCTURE,2.2301680275789995,2.02278552766,2.4375505274980007,True,0.16666666666666666,1.0,False
MeanChargeTime,5_6C_19PER_4_6C_NEWSTRUCTURE,5_6C_36PER_4_3C_NEWSTRUCTURE,0.035072388544127975,0.001614482190934341,0.06597931753404251,True,0.06701631701631702,0.6388888888888888,False
MeanChargeTime,5_6C_19PER_4_6C_NEWSTRUCTURE,4_8C_80PER_4_8C_NEWSTRUCTURE,-0.9107310905157764,-0.9486773598154935,-0.8690090359804751,True,0.0,0.0,True
MeanChargeTime,5_6C_19PER_4_6C_NEWSTRUCTURE,5C_67PER_4C_NEWSTRUCTURE,0.09099346963321864,0.05749381617573568,0.12550234507860877,True,0.0005827505827505828,0.0168997668997669,True
MeanChargeTime,5_6C_19PER_4_6C_NEWSTRUCTURE,5_3C_54PER_4C_NEWSTRUCTURE,0.09221795429222723,0.05940858573204113,0.12406831775964182,True,0.0008741258741258741,0.0236013986013986,True
MeanChargeTime,5_6C_19PER_4_6C_NEWSTRUCTURE,3_7C_31PER_5_9C_NEWSTRUCTURE,-0.6021361408933661,-0.6675425160073363,-0.535780942456415,True,0.0,0.0,True
MeanChargeTime,5_6C_36PER_4_3C_NEWSTRUCTURE,4_8C_80PER_4_8C_NEWSTRUCTURE,-0.9458034790599044,-0.9792950313473424,-0.9085990872690116,True,0.0,0.0,True
MeanChargeTime,5_6C_36PER_4_3C_NEWSTRUCTURE,5C_67PER_4C_NEWSTRUCTURE,0.05592108108909066,0.027442395810856012,0.08415609921934127,True,0.0005827505827505828,0.0168997668997669,True
MeanChargeTime,5_6C_36PER_4_3C_NEWSTRUCTURE,5_3C_54PER_4C_NEWSTRUCTURE,0.05714556574809926,0.030967978746256498,0.08237455997327267,True,0.0020396270396270395,0.050990675990675985,False
