BatteryId,Policy,NObs,ResidualMean,ResidualSD,ResidualRMSE,ResidualMAE,ResidualMaxAbs,ResidualLag1Correlation,DurbinWatson,ResidualTrendPerCycle
30,3_7C_31PER_5_9C_NEWSTRUCTURE,200,2.44198550269914e-13,0.00019087673324971546,0.00019039894343089882,0.0001364781158583922,0.001199528626319224,0.7396751779661292,0.5097159303105586,-7.370484174073156e-15
31,5C_67PER_4C_NEWSTRUCTURE,200,2.4206026072448593e-13,0.00027310982356477606,0.0002724261933973038,0.00015124220012814604,0.0019341083133107562,0.7142879979655221,0.5131614679160583,-6.513536683179788e-15
32,5_3C_54PER_4C_NEWSTRUCTURE,200,2.42406650308169e-13,0.0002574107492258956,0.0002567664159269115,0.000155091518256541,0.0014936194954214832,0.4913567292717996,0.9354395711077645,-6.507541268362406e-15
33,5_6C_19PER_4_6C_NEWSTRUCTURE,200,2.426137069022616e-13,0.0002185431122036564,0.00021799606976319935,0.00013641515853411888,0.0014686864455536464,0.739430870339294,0.4732623744079348,-6.584386584086662e-15
34,5_6C_36PER_4_3C_NEWSTRUCTURE,200,2.43021158752299e-13,0.00024148373009765547,0.00024087926424324685,0.00013497488358570897,0.0018152641864872532,0.7851187945206588,0.38762361572491993,-6.589656498969544e-15
35,3_7C_31PER_5_9C_NEWSTRUCTURE,200,2.431183032669537e-13,0.00021191573479848174,0.0002113852815640307,0.0001328363409069061,0.001297235305239175,0.5911364978091461,0.7439984729816679,-7.418373297989958e-15
36,5_3C_54PER_4C_NEWSTRUCTURE,200,2.4276303189907364e-13,0.0002041495424810215,0.00020363852905757874,0.0001264929183626612,0.0017237602775956873,0.8616411475855631,0.26320691356930265,-6.594944905473382e-15
37,5C_67PER_4C_NEWSTRUCTURE,200,2.433608869978343e-13,0.00017365624593034174,0.00017322156127880337,0.00011655555761688196,0.0012921163312951123,0.8711303625673444,0.24242901451406662,-6.836372525686537e-15
38,5_3C_54PER_4C_NEWSTRUCTURE,200,2.4271806786657635e-13,0.00020695298758644813,0.00020643495676750525,0.00013129143910405982,0.0017051779219189322,0.814018586477972,0.33907904107406533,-6.726911928068584e-15
39,5_6C_19PER_4_6C_NEWSTRUCTURE,200,2.4301893830624977e-13,0.00014682743833938251,0.00014645990975710262,0.00010941960553853102,0.0010030313539617364,0.8016803655993977,0.36285154390127666,-6.864156644289577e-15
40,5_6C_36PER_4_3C_NEWSTRUCTURE,200,2.428490741834821e-13,0.00016110589518087751,0.000160702625724416,0.00012155531608331826,0.0007405250231802274,0.8528864475995406,0.2826888901868215,-6.699646464869888e-15
41,4_8C_80PER_4_8C_NEWSTRUCTURE,200,2.318162328762696e-13,0.0011250534207726144,0.0011222372626116994,0.0003671634620066849,0.0077269907604701205,0.0908420691809617,1.813379469930473,-6.637081466656023e-15
42,5C_67PER_4C_NEWSTRUCTURE,200,2.4310664592519516e-13,0.00017111710407223895,0.00017068877523006341,0.00011344047378374799,0.0013976106023126933,0.8164761567580723,0.33507997916019233,-6.8306778914624175e-15
43,5_3C_54PER_4C_NEWSTRUCTURE,200,2.424760392472081e-13,0.0001833184356050779,0.0001828595652092874,0.00013393275178495202,0.001250069127415765,0.8817040750787178,0.22384690068745686,-6.421124190573457e-15
44,5_6C_19PER_4_6C_NEWSTRUCTURE,200,2.4257984510001053e-13,0.00024640368285001445,0.00024578690170031485,0.0001521228111511813,0.0017315306351392001,0.9087105146974548,0.17722915897165128,-6.345112520146092e-15
45,5_6C_36PER_4_3C_NEWSTRUCTURE,200,2.430072809644912e-13,0.00021332265904155533,0.0002127886840888323,0.00013268986345937262,0.001820666333976928,0.8810634015661186,0.23234483948167936,-6.525726007790499e-15
46,4_8C_80PER_4_8C_NEWSTRUCTURE,200,2.4239110718582423e-13,0.00017820454997122956,0.00017775848031049377,0.00011754638601480572,0.0014803876155111695,0.7998969740600717,0.3619659866444027,-6.7161109153822205e-15
47,5C_67PER_4C_NEWSTRUCTURE,200,2.424199729844645e-13,0.00019580432572329247,0.0001953142014859479,0.00013327214893820328,0.0014342665296294133,0.8431882269213979,0.28937720552777313,-6.7160167800713134e-15
48,5_3C_54PER_4C_NEWSTRUCTURE,200,2.42477704581745e-13,0.00018967912505255197,0.0001892043330061395,0.00013240714340852444,0.0013883455060660355,0.898482335128967,0.19591903231705715,-6.449654097251961e-15
49,4_8C_80PER_4_8C_NEWSTRUCTURE,200,2.4186486147215193e-13,0.0002982171594390238,0.00029747068227467516,0.00018582047383569112,0.0011970794688552777,0.2617160762938494,1.4251148160871887,-6.8846617518050966e-15
