BatteryId,Policy,Family,Candidate,SelectedFamily,Intercept,Coefficient,EstimatedT80,T80Status,ExtrapolationMultiple
12,5_6C_19PER_4_6C_NEWSTRUCTURE,linear,linear_w40_s1,True,1.0013806114865746,-3.383778926635268e-05,5951.352492369283,finite_extrapolation,39.67568328246189
12,5_6C_19PER_4_6C_NEWSTRUCTURE,power,power_w60_s1.25,False,0.9999617106822479,-6.846110406268539e-06,3735.9611886268376,finite_extrapolation,24.906407924178918
13,5_6C_36PER_4_3C_NEWSTRUCTURE,exponential,exponential_w60_s0.001,False,1.0007770735991892,-0.023623661700780757,2251.184626191735,finite_extrapolation,15.007897507944898
13,5_6C_36PER_4_3C_NEWSTRUCTURE,linear,linear_w40_s1,True,1.0019745589877191,-3.413221570172897e-05,5917.417162504574,finite_extrapolation,39.449447750030494
13,5_6C_36PER_4_3C_NEWSTRUCTURE,power,power_w60_s1.25,False,1.0003308943521996,-6.449099051687344e-06,3924.6334951098743,finite_extrapolation,26.164223300732495
14,5_6C_19PER_4_6C_NEWSTRUCTURE,exponential,exponential_w60_s0.001,False,1.0009272472437938,-0.021266456619985247,2346.4185165268773,finite_extrapolation,15.642790110179181
14,5_6C_19PER_4_6C_NEWSTRUCTURE,linear,linear_w40_s1,True,1.0017770794212952,-2.9084989555644506e-05,6937.498775279307,finite_extrapolation,46.24999183519538
14,5_6C_19PER_4_6C_NEWSTRUCTURE,power,power_w60_s1.25,False,1.0005242990653613,-5.80237893597532e-06,4274.139919538911,finite_extrapolation,28.49426613025941
15,5_6C_36PER_4_3C_NEWSTRUCTURE,exponential,exponential_w60_s0.001,False,1.0014767612505437,-0.03253617124711744,1973.023949011537,finite_extrapolation,13.153492993410246
15,5_6C_36PER_4_3C_NEWSTRUCTURE,linear,linear_w40_s1,True,1.0031310470044938,-4.710092020159434e-05,4312.676825316418,finite_extrapolation,28.751178835442786
15,5_6C_36PER_4_3C_NEWSTRUCTURE,power,power_w60_s1.25,False,1.0008633607606245,-8.884922386482965e-06,3043.6707391005652,finite_extrapolation,20.291138260670436
16,3_7C_31PER_5_9C_NEWSTRUCTURE,exponential,exponential_w60_s0.001,False,1.0003517827896518,-0.1752609306783989,762.2826992989162,finite_extrapolation,5.081884661992775
16,3_7C_31PER_5_9C_NEWSTRUCTURE,linear,linear_w40_s1,True,1.0023060653308535,-0.00020215133342233108,1000.7654261087615,finite_extrapolation,6.671769507391743
16,3_7C_31PER_5_9C_NEWSTRUCTURE,power,power_w60_s1.25,False,0.9970218017106615,-4.7795523219390725e-05,780.0126622864636,finite_extrapolation,5.200084415243091
17,4_8C_80PER_4_8C_NEWSTRUCTURE,exponential,exponential_w60_s0.001,False,0.9999343250350053,-0.010049182680938228,3039.5376870292494,finite_extrapolation,20.263584580194994
17,4_8C_80PER_4_8C_NEWSTRUCTURE,linear,linear_w40_s1,True,1.0010977389977385,-1.9417630271986922e-05,10356.451131313099,finite_extrapolation,69.04300754208732
17,4_8C_80PER_4_8C_NEWSTRUCTURE,power,power_w60_s1.25,False,0.999745832963075,-2.7466204045962722e-06,7750.741785460713,finite_extrapolation,51.67161190307142
18,5C_67PER_4C_NEWSTRUCTURE,exponential,exponential_w60_s0.001,False,1.0014183896483275,-0.02756045697686478,2117.2475993004086,finite_extrapolation,14.114983995336058
18,5C_67PER_4C_NEWSTRUCTURE,linear,linear_w40_s1,True,1.0023646384403255,-3.6531776541306565e-05,5539.4141101107225,finite_extrapolation,36.92942740073815
18,5C_67PER_4C_NEWSTRUCTURE,power,power_w60_s1.25,False,1.0008962490445865,-7.519804637099946e-06,3478.6618643545057,finite_extrapolation,23.191079095696704
