PolicyA,PolicyB,CurveRMSE,IntegratedDifference,MaxAbsDifference,SimultaneousBandRadius,SignificantCycleFraction,AnySignificantCycle,AllCyclesSignificant
5_6C_19PER_4_6C_NEWSTRUCTURE,5_6C_36PER_4_3C_NEWSTRUCTURE,0.00038972389582096225,-0.0003022380632185911,0.0007729493281590782,0.0011770986617763654,0.0,False,False
5_6C_19PER_4_6C_NEWSTRUCTURE,4_8C_80PER_4_8C_NEWSTRUCTURE,0.008107355109725583,0.008072876987814585,0.009273012944702064,0.018556036238606556,0.0,False,False
5_6C_19PER_4_6C_NEWSTRUCTURE,5C_67PER_4C_NEWSTRUCTURE,0.0008651046994836185,-0.0007010067136879223,0.0015648751642977077,0.0008627254669544393,0.44,True,False
5_6C_19PER_4_6C_NEWSTRUCTURE,5_3C_54PER_4C_NEWSTRUCTURE,0.0007236893864889647,-0.0004883949798210356,0.0015208417394875218,0.0010916438353517966,0.14,True,False
5_6C_19PER_4_6C_NEWSTRUCTURE,3_7C_31PER_5_9C_NEWSTRUCTURE,0.01620192466728273,0.013642581974115879,0.028020576110425965,0.005897805308306086,0.755,True,False
5_6C_36PER_4_3C_NEWSTRUCTURE,4_8C_80PER_4_8C_NEWSTRUCTURE,0.008390288650800893,0.008375115051033177,0.009227591957248316,0.018401601653598238,0.0,False,False
5_6C_36PER_4_3C_NEWSTRUCTURE,5C_67PER_4C_NEWSTRUCTURE,0.0004816015660638038,-0.0003987686504693313,0.0007919258361386294,0.0011231950091514285,0.0,False,False
5_6C_36PER_4_3C_NEWSTRUCTURE,5_3C_54PER_4C_NEWSTRUCTURE,0.00034884287346922407,-0.00018615691660244456,0.0007478924113284435,0.001366452108784022,0.0,False,False
5_6C_36PER_4_3C_NEWSTRUCTURE,3_7C_31PER_5_9C_NEWSTRUCTURE,0.01658807013487782,0.013944820037334467,0.028793525438585044,0.0062147853158339705,0.75,True,False
4_8C_80PER_4_8C_NEWSTRUCTURE,5C_67PER_4C_NEWSTRUCTURE,0.008776676876874157,-0.008773883701502505,0.009151176516361104,0.0185036759803124,0.0,False,False
4_8C_80PER_4_8C_NEWSTRUCTURE,5_3C_54PER_4C_NEWSTRUCTURE,0.00856364184022588,-0.008561271967635621,0.008912763880078112,0.0185704809724981,0.0,False,False
4_8C_80PER_4_8C_NEWSTRUCTURE,3_7C_31PER_5_9C_NEWSTRUCTURE,0.011011606715152326,0.005569704986301291,0.021380245119446695,0.018119939211474402,0.115,True,False
5C_67PER_4C_NEWSTRUCTURE,5_3C_54PER_4C_NEWSTRUCTURE,0.00021630548977437226,0.00021261173386688675,0.0002487136429603076,0.001090900656924254,0.0,False,False
5C_67PER_4C_NEWSTRUCTURE,3_7C_31PER_5_9C_NEWSTRUCTURE,0.017063637503061425,0.014343588687803803,0.029585451274723673,0.005868777519222002,0.765,True,False
5_3C_54PER_4C_NEWSTRUCTURE,3_7C_31PER_5_9C_NEWSTRUCTURE,0.016900295048468645,0.014130976953936912,0.029541417849913487,0.006066705354297757,0.75,True,False
