OuterBatteryId,Family,SelectedCandidate,InnerStrategyEqualRMSE,InnerWorstBatteryRMSE,InnerNBattery
41,power,power_w60_s1.25,0.000833080203762112,0.0024187372923747228,39
42,exponential,exponential_w60_s0.001,0.0008287567284659728,0.002445211228533701,39
42,linear,linear_w40_s1,0.0007068320937843774,0.0022713225251090163,39
42,power,power_w60_s1.25,0.0008317113531485336,0.0024187372923747228,39
43,exponential,exponential_w60_s0.001,0.0008283172846594174,0.002445211228533701,39
43,linear,linear_w40_s1,0.000706292694832739,0.0022713225251090163,39
43,power,power_w60_s1.25,0.0008313255066619624,0.0024187372923747228,39
44,exponential,exponential_w60_s0.001,0.0008276441758802152,0.002445211228533701,39
44,linear,linear_w40_s1,0.000705960215673637,0.0022713225251090163,39
44,power,power_w60_s1.25,0.0008308641094363493,0.0024187372923747228,39
45,exponential,exponential_w60_s0.001,0.0008276904219183513,0.002445211228533701,39
45,linear,linear_w40_s1,0.0007064301906512559,0.0022713225251090163,39
45,power,power_w60_s1.25,0.0008308518651591855,0.0024187372923747228,39
46,exponential,exponential_w60_s0.001,0.0008294339603495942,0.002445211228533701,39
46,linear,linear_w40_s1,0.0007073311541220326,0.0022713225251090163,39
46,power,power_w60_s1.25,0.00083253336639776,0.0024187372923747228,39
47,exponential,exponential_w60_s0.001,0.0008268940210615896,0.002445211228533701,39
47,linear,linear_w40_s1,0.0007048931313425001,0.0022713225251090163,39
47,power,power_w60_s1.25,0.0008300877997297509,0.0024187372923747228,39
48,exponential,exponential_w60_s0.001,0.0008279491996318883,0.002445211228533701,39
48,linear,linear_w40_s1,0.0007062439751889896,0.0022713225251090163,39
48,power,power_w60_s1.25,0.0008311127841522808,0.0024187372923747228,39
49,exponential,exponential_w60_s0.001,0.0008261509060965982,0.002445211228533701,39
49,linear,linear_w40_s1,0.0007051255855921375,0.0022713225251090163,39
49,power,power_w60_s1.25,0.0008293230243405133,0.0024187372923747228,39
