Model,BatteryId,Policy,NObs,RMSE,MAE,Bias,MaxAbsError,InnerSelectedLambdaRandom,InnerSelectedLambdaCurve,InnerCVMeanBatteryRMSE,InnerValidationNBattery
polynomial_mixed,27,5_6C_19PER_4_6C_NEWSTRUCTURE,200,0.0007214913682019014,0.0006304594658101903,0.0005125937488380727,0.0018968979862079571,1000.0,0.0,0.004390657356790746,39
polynomial_mixed,28,5_6C_36PER_4_3C_NEWSTRUCTURE,200,0.0010493564796099017,0.0009424291502509302,0.0007788820697613502,0.002325064422805556,1000.0,0.0,0.004422107088992857,39
polynomial_mixed,29,5C_67PER_4C_NEWSTRUCTURE,200,0.00046155207402756815,0.00035649978512478477,0.00014949689917934938,0.003214736824293074,1000.0,0.0,0.004440542060294716,39
polynomial_mixed,30,3_7C_31PER_5_9C_NEWSTRUCTURE,200,0.0058140836285660805,0.0046987260539269144,-0.004591760809639299,0.012001705315586753,1000.0,0.0,0.004211748779286524,38
polynomial_mixed,31,5C_67PER_4C_NEWSTRUCTURE,200,0.0006343462607683476,0.00034876438324185524,-8.781549362248731e-05,0.005032443937980413,1000.0,0.0,0.004431243220844881,39
polynomial_mixed,32,5_3C_54PER_4C_NEWSTRUCTURE,200,0.0007444506156448694,0.0006326512946622808,-0.0004484691426197973,0.004097444864118449,1000.0,0.0,0.004423123228685128,39
polynomial_mixed,33,5_6C_19PER_4_6C_NEWSTRUCTURE,200,0.0010809347214141517,0.0009437997708090812,-0.0007754936101741377,0.004043849424101742,1000.0,0.0,0.004378985308583072,39
polynomial_mixed,34,5_6C_36PER_4_3C_NEWSTRUCTURE,200,0.0005528975773003977,0.0003330056524263647,2.0278935641071527e-06,0.004320329843866655,1000.0,0.0,0.004409446148508541,39
polynomial_mixed,35,3_7C_31PER_5_9C_NEWSTRUCTURE,200,0.005821400247420206,0.00459467266709642,0.004591760807079523,0.01118808032977403,1000.0,0.0,0.004701136941332922,38
polynomial_mixed,36,5_3C_54PER_4C_NEWSTRUCTURE,200,0.0005148143998592788,0.00037755671234206313,-0.00028268653846291514,0.003496518599924392,1000.0,0.0,0.004428583884307107,39
polynomial_mixed,37,5C_67PER_4C_NEWSTRUCTURE,200,0.0007443474397659616,0.0006579053133052188,0.0004714407215152999,0.0023965320943828416,1000.0,0.0,0.004427852125542998,39
polynomial_mixed,38,5_3C_54PER_4C_NEWSTRUCTURE,200,0.0012759594390980254,0.0011201615267197856,0.0008559171664154048,0.002661204774570103,1000.0,0.0,0.004864837442130517,39
polynomial_mixed,39,5_6C_19PER_4_6C_NEWSTRUCTURE,200,0.0004050656425883873,0.00030378576814724887,-0.00016175220583050098,0.002051845365842464,1000.0,0.0,0.004443041715891424,39
polynomial_mixed,40,5_6C_36PER_4_3C_NEWSTRUCTURE,200,0.0012631211364562142,0.0010917796122109963,0.0009929585069738105,0.002400523851231795,1000.0,0.0,0.004848796727590225,39
polynomial_mixed,41,4_8C_80PER_4_8C_NEWSTRUCTURE,200,0.04582293856208964,0.04580224773209615,0.04580224773209615,0.05271129972018607,0.001,0.0,0.0021983268829093958,39
polynomial_mixed,42,5C_67PER_4C_NEWSTRUCTURE,200,0.00046755716871270706,0.0003327769932157254,-0.00015961951245155648,0.0023779324397317225,1000.0,0.0,0.004878868851217742,39
polynomial_mixed,43,5_3C_54PER_4C_NEWSTRUCTURE,200,0.0008062694894353649,0.0006892510826271208,0.00041856311675020184,0.003805270658501003,1000.0,0.0,0.00487410847338688,39
polynomial_mixed,44,5_6C_19PER_4_6C_NEWSTRUCTURE,200,0.0006226227356004049,0.0003149620523874408,-9.903593205949246e-05,0.004858761012290103,1000.0,0.0,0.004418082992610977,39
polynomial_mixed,45,5_6C_36PER_4_3C_NEWSTRUCTURE,200,0.0014541106671005482,0.0012831730554922415,-0.0010609767664492842,0.004912428531626545,1000.0,0.0,0.004387557845096286,39
polynomial_mixed,46,4_8C_80PER_4_8C_NEWSTRUCTURE,200,0.011683555762332863,0.011675967017210926,-0.011675967017210926,0.0124422043988629,1000.0,0.0,0.004125792025803233,39
polynomial_mixed,47,5C_67PER_4C_NEWSTRUCTURE,200,0.0008454715595317669,0.000730930409152255,-0.0006337183845545946,0.0030931887401138836,1000.0,0.0,0.004363940374602916,39
polynomial_mixed,48,5_3C_54PER_4C_NEWSTRUCTURE,200,0.001079117904817419,0.0009436764381493706,-0.0007953068241190914,0.003909661109855134,1000.0,0.0,0.00493186587362582,39
polynomial_mixed,49,4_8C_80PER_4_8C_NEWSTRUCTURE,200,0.011517705437770932,0.01150823782944265,-0.01150823782944265,0.012367431306200438,1000.0,0.0,0.0049095323455940285,39
spline_mixed,1,3_6C-80PER_3_6C,200,0.0069832097805799555,0.006835329275889963,-0.006798277669712458,0.008359207889847231,3.0,0.001,0.004664492452029647,38
spline_mixed,3,3_6C-80PER_3_6C,200,0.006888563704283744,0.0067982775546688,0.0067982775546688,0.009823364039905358,3.0,0.001,0.004147422335127164,38
spline_mixed,4,80PER_3_6C,200,0.01443356652843412,0.01218939152967806,0.012056743544185313,0.02637956450098622,3.0,0.001,0.003765503916068367,38
spline_mixed,6,80PER_3_6C,200,0.01439307272437108,0.012251957754782859,-0.012056743657592581,0.025981382595267277,3.0,0.001,0.003728377061572008,38
spline_mixed,7,4_8C_80PER_4_8C,200,0.0038431620280086932,0.0028755808487161594,-0.0026262428113541115,0.008171368825523606,3.0,0.001,0.004334710270058165,38
spline_mixed,8,4_8C_80PER_4_8C,200,0.0038395068151061396,0.0030137062880356415,0.0026262426966169638,0.008318354004301032,3.0,0.001,0.004256316336355513,38
spline_mixed,12,5_6C_19PER_4_6C_NEWSTRUCTURE,200,0.00035789898323516093,0.0003001565379345955,-3.2584233780924565e-06,0.0013346961463892582,3.0,0.001,0.004364948181611164,39
spline_mixed,13,5_6C_36PER_4_3C_NEWSTRUCTURE,200,0.0003632829925887833,0.00029451867620719,-0.00017542186985083864,0.0013881562601456565,0.03,0.001,0.004397356260409017,39
spline_mixed,15,5_6C_36PER_4_3C_NEWSTRUCTURE,200,0.0005701480193437131,0.00044055559726706493,0.0003326055585679988,0.0021015131159923817,3.0,0.001,0.004383829608651741,39
spline_mixed,17,4_8C_80PER_4_8C_NEWSTRUCTURE,200,0.01156044973791032,0.0115437488095901,-0.0115437488095901,0.012707441717457635,3.0,0.001,0.004049672486291414,39
spline_mixed,18,5C_67PER_4C_NEWSTRUCTURE,200,0.00046618869104855565,0.00034042107426851374,0.00026021575718586376,0.002951322238058385,3.0,0.001,0.004404275398376101,39
spline_mixed,19,5_3C_54PER_4C_NEWSTRUCTURE,200,0.0011775916588053611,0.0010146489593465297,-0.0009605180601570568,0.0025164726653048586,3.0,0.001,0.004354193924352422,39
spline_mixed,20,4_8C_80PER_4_8C_NEWSTRUCTURE,200,0.011083076222211975,0.011074347494073091,-0.011074347494073091,0.011838211998140946,3.0,0.001,0.004105357259565408,39
spline_mixed,21,5_6C_19PER_4_6C_NEWSTRUCTURE,200,0.0005077140218203253,0.0003873196332170703,0.0002741782304780849,0.0015840956289695507,3.0,0.001,0.004438781677409996,39
spline_mixed,22,5_6C_36PER_4_3C_NEWSTRUCTURE,200,0.0011223568290505204,0.0009084235712844662,-0.0008700763542012297,0.0024267992950973705,3.0,0.001,0.00479928081881241,39
spline_mixed,23,5_6C_19PER_4_6C_NEWSTRUCTURE,200,0.0005620512329833667,0.0003785232448980286,0.0002527681626248274,0.003558286989626902,3.0,0.001,0.004341541016098665,39
spline_mixed,26,5_3C_54PER_4C_NEWSTRUCTURE,200,0.0015542155750519837,0.0013390524357129153,0.0012125002619901703,0.009449259527047893,3.0,0.001,0.0043616387228657865,39
spline_mixed,27,5_6C_19PER_4_6C_NEWSTRUCTURE,200,0.000685008843163524,0.0006388566040401277,0.0005125937394875025,0.0017802802721305078,3.0,0.001,0.0043387236115372,39
spline_mixed,28,5_6C_36PER_4_3C_NEWSTRUCTURE,200,0.0010218288433811867,0.0009539243381031637,0.0007788820604191426,0.0016448784573510622,3.0,0.001,0.004374370996555047,39
spline_mixed,29,5C_67PER_4C_NEWSTRUCTURE,200,0.0003478364801549659,0.0002718005495091541,0.0001494968879598596,0.0021678467632575416,3.0,0.001,0.004392467983064205,39
spline_mixed,30,3_7C_31PER_5_9C_NEWSTRUCTURE,200,0.005814537589050821,0.004644685943631725,-0.004591760864614849,0.011163060138740133,3.0,0.001,0.00415654525984392,38
spline_mixed,31,5C_67PER_4C_NEWSTRUCTURE,200,0.0005149655131095685,0.00031258887410587686,-8.781550483230149e-05,0.004037533379827596,3.0,0.001,0.004385406118130831,39
spline_mixed,32,5_3C_54PER_4C_NEWSTRUCTURE,200,0.0006375236669906519,0.0005583081939566925,-0.0004484691519463035,0.003020800553663494,3.0,0.001,0.004372761430276276,39
spline_mixed,33,5_6C_19PER_4_6C_NEWSTRUCTURE,200,0.0010267113152444699,0.0008750502887803962,-0.0007754936195085121,0.00296548481549741,3.0,0.001,0.004327573027941894,39
